leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
341.1364438,224.253407,320.7879987,274.9471194,329.5141763,166.8952275,345.2750674,277.0812318,256.9994111,225.0936884,281.4295138,272.6602618,262.7755559,169.6411197,253.2411166,271.5002378
340.9859007,224.3443655,320.4550786,275.4066294,329.3899156,166.0273604,345.465304,277.6690484,256.9897458,225.0657184,281.3152105,273.1216876,262.9038285,169.2552701,252.9636559,271.0324729
339.9297966,222.910622,320.4853323,274.8632159,328.5740828,164.4476142,345.6791068,277.6077019,257.1435658,224.8585893,281.0880039,273.0028938,263.1363117,168.8054749,253.3175343,272.0389401
341.394664,225.0802715,323.3627926,277.2526015,327.161964,165.0408227,345.4867922,282.9630119,256.0156859,224.4419788,280.6733991,273.2972571,262.4286391,167.9310323,251.685311,271.8376858
341.0071353,227.2928446,320.8504464,280.1833202,326.259811,167.3561208,342.3530601,285.6371419,255.9638894,224.1108698,280.5593334,274.0641138,261.8049326,166.9625795,253.0273923,270.5093716
336.4872238,231.7326447,318.1799252,273.90956,322.5788106,169.7928655,327.2846382,288.7719026,256.1003967,221.2959767,273.8943453,273.4837453,260.6880637,165.3636674,250.8502056,267.8802911
323.8793456,234.2090507,311.1176808,273.8939227,322.1532515,168.676643,307.9922218,270.4624437,253.9377122,223.0495798,272.6519673,271.4966119,258.7284402,164.5933627,247.9009018,267.3492022
300.2714656,232.5906747,317.0705942,266.1294404,315.2804478,167.9284726,263.5798171,267.8438012,263.6165467,227.4571744,275.4369198,274.6007098,257.3347534,167.4092289,249.3559812,269.6523896
291.9957816,220.2706382,317.1142319,269.1964187,313.0238582,164.9263466,245.4874726,236.0166318,260.4005525,217.6007878,274.1060137,274.7506881,261.7196833,165.2861687,229.8706038,245.5523011
286.5158041,195.7212559,308.6166714,269.5583257,312.4619451,160.6407854,280.2119442,191.9804532,239.954583,189.0456871,269.1142633,275.3935907,262.221589,165.7526376,186.3415689,198.5500249
289.17915,166.2163864,308.8699948,268.6555619,312.8906367,160.321066,289.0208876,139.1992168,231.1197167,157.1734166,271.5277245,273.1483781,256.7844316,154.4183952,189.0419747,154.8537431
291.7677335,158.2488676,304.9752613,265.6283048,312.5986829,155.6269777,287.9005946,116.9895001,244.2496075,100.9255221,278.6967707,265.3534576,262.9119598,144.7868358,213.0493115,93.7138383
271.6042616,176.1661633,268.4415636,268.7677206,289.2375738,152.5192136,276.4203674,170.2489072,309.3997822,146.0577376,313.9206883,265.6259199,313.7658626,148.0737337,274.4376169,107.3814414
317.8889639,115.3794899,313.2955551,271.7499507,312.7127552,152.4591073,287.1842556,55.66043297,248.3146607,232.7164424,271.0478864,276.6198606,256.6536868,169.8290923,246.4452712,271.175844
325.867397,133.7937683,313.7748405,271.2592242,315.0167754,151.8724554,320.3616661,65.39947727,251.5353887,231.6428962,270.1277611,274.9886922,254.9367388,169.287059,244.523108,281.9784177
