leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,ms_since_last_frame,ms_since_start,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
362.91662565276863,231.2190070101375,342.9533778830612,283.54131243831324,348.7727036210523,166.24539270095553,372.23712142013426,285.29918358419286,0,0.0,270.158875058121,224.35588334378826,294.8625502851977,284.49250299311194,277.05869963061593,166.47650165489983,269.385660915223,277.76728307649336
364.18007200529473,231.0060226874844,344.4223305780628,283.46560386576266,347.6422224373653,165.2501434108965,372.9126818426725,285.42775164295347,106,106.0,270.45643601556674,220.6970182262706,296.2072713432009,283.8109743383007,277.39375673491384,165.31836282316053,268.4429114060946,278.0020180970324
364.46369444343713,232.13263809893056,344.786367239307,284.08903563149886,349.14068004496846,165.52138824055632,372.73798692131555,285.6566383660476,110,216.0,269.98918781229924,222.6592800371164,296.1682458771319,284.3765535727938,276.98662472024205,165.3565021935731,268.5500111061319,278.8637867177509
361.39480712243034,230.39704346571958,339.48144644577883,282.3564282346026,347.71130468231934,164.71213395061017,373.5101480256342,283.86446426771715,109,325.0,269.5398896316002,219.7643410353474,294.774363793492,283.48164840100924,276.4732122041819,164.94341507501025,266.97083167119115,279.1026037358729
356.04956346102034,227.44121375033012,337.9820385029841,281.90649500945284,346.3118065952939,165.88345619283112,371.2278067591336,280.722679056731,99,424.0,268.5039678113214,219.48949060406125,293.71433450309286,284.45604643363544,275.49924815048905,165.1208538856371,266.4772393912156,277.75917446910273
357.24062325151283,227.67289511249584,338.3369312235784,281.3542829628941,345.9028621440857,165.25410933850927,371.52779455210236,281.05863197842535,100,524.0,268.66319671549905,219.63246844417262,293.6914455100143,284.77669115168345,276.9073000637227,165.48738350647625,266.64360471366257,275.9284834675093
361.798895474138,227.2276091660469,337.53967528001704,281.6479986333338,343.7503318887807,163.75642308136747,370.9936070125995,280.6531348177547,96,620.0,265.14519000875543,226.9258842604016,292.10775967301987,281.99538139261807,275.3755038233588,164.32955414374953,262.29876814217397,277.0000748277983
361.76053722594077,226.00233301997608,336.0477113597273,281.31185266895227,342.6573525183397,163.20516810298392,371.17063648820886,279.46315616051066,104,724.0,266.60668896743414,223.3417038561186,292.65488682754483,281.34385743599347,277.74834670818143,160.41276327655834,266.20954680506054,275.78857964892404
360.76305844739517,225.2873688830176,335.4444346946494,280.285932601983,340.6883567587451,161.9134624657682,368.34935519676316,278.4896899457504,101,825.0,267.4934876945354,224.88794401447117,291.68821866063286,280.88855078211884,275.79192548594995,160.1073347207066,264.20406473094016,275.11239815437074
361.18150544103327,224.7466669048703,336.04271683832064,278.5697317971878,340.7878537772505,161.68539271235892,368.95887137091756,278.1683883123975,98,923.0,265.82456958072567,222.39469792919223,289.29064520474134,281.33070569021424,272.13841283985414,160.2041191562639,263.6642694852713,270.63673318068754
360.0690603888636,222.94523775365428,330.8136172509636,277.8853083165939,340.61702333647634,159.5228804727466,370.64600451239227,275.99705923494497,101,1024.0,265.90425607696454,220.57383072333832,289.33214384933996,281.3985337226841,270.35570382439494,160.0197699061492,260.3353566136853,270.81085096474646
358.6505657165689,224.0634297815506,330.0470173074333,277.93207718384224,340.4087072721527,160.10650879123457,369.60215277633864,281.34204796624783,99,1123.0,263.8686279782566,221.7107656078407,288.8256908791135,282.646333959179,269.52205101438165,160.2112462596961,261.91847014490435,269.88777581483015
357.52258098410044,223.92569708230232,329.29169105914286,277.94039349538997,341.2460725819717,159.2801529147871,370.24521076394655,281.63952756182584,97,1220.0,261.7086532957041,224.40299471926437,287.960346333228,282.1597181435582,268.33857933469415,160.82796144315782,261.4933954942132,273.7364487800734
356.45982393219236,224.70372264495526,332.4922892522432,279.9273651774668,340.37957876999747,159.32727691541788,369.7111563846983,280.4774056974255,101,1321.0,262.73136695436835,222.38986534580215,286.69650586277487,279.4481933159336,267.5980221371436,161.9884355212446,261.5617334178651,272.96695522566284
355.97374407619003,222.7859649115186,328.88345794272993,276.6150298067684,338.97280958666414,157.8689892860494,370.48915063670836,279.47819068338526,101,1422.0,262.02017786648287,217.98133615921398,287.9739141084788,279.6512640413441,266.72412174133785,159.0657374697648,257.8160494645016,270.24680059575525
