leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
411.3078822,209.8155929,374.7580822,280.6264428,380.7066615,188.2872578,452.8090969,218.3251523,278.6855755,209.9169493,336.9532772,284.2982691,322.1090172,184.2381813,234.7149792,225.3184243
415.4038775,207.3554488,373.0606735,281.3834471,385.7069369,190.8926716,471.0604883,203.3694367,277.3676848,198.8182874,339.5347696,280.9738985,325.7613693,185.3952425,216.0622999,204.9136619
426.8134711,176.7448723,372.0963557,283.8270335,378.4271137,180.4077426,459.3046501,158.0700787,270.0761758,166.8745088,338.4073078,281.4423715,316.8853614,180.2013643,237.9613756,151.9491756
413.4605942,160.4205978,372.4671321,281.834387,375.8521556,179.6282428,454.5974481,126.2526524,272.186,150.9776301,340.7458836,275.4478943,318.7178375,171.2327798,242.8523218,117.7244723
409.4981858,148.0421953,371.8566182,279.7784975,372.3606359,178.779795,440.4218679,112.8186117,286.7138769,132.3804026,340.1756793,278.4189264,317.3993325,170.5290781,262.9297531,102.6338448
393.3924765,132.8559506,368.975586,277.8080208,372.0207696,171.0710035,410.530674,101.371197,297.1577858,122.7131832,339.3457792,273.6496569,317.9069005,170.1912844,287.8033059,77.29426754
389.1889642,134.4576185,370.2102799,274.1393948,371.0942996,171.9654778,401.7281623,88.2283096,297.7391694,121.8522063,337.5804005,271.2491849,319.2985004,170.6487711,303.2236802,77.78549927
380.9563634,120.027834,370.363725,274.3079879,369.3517067,170.8430087,381.2114685,69.97182608,302.093041,126.5477049,335.7189512,269.949185,320.0923995,168.2389794,321.6639956,71.15522826
383.8308335,127.8318216,368.9511088,277.4624634,369.0366185,168.2549938,376.3447275,71.75866178,315.9531081,130.4907476,335.5699251,271.4867366,320.4948462,166.1221637,333.6551899,73.33706024
385.1912181,127.1465543,369.2825099,275.8649604,368.8075568,168.8222273,368.0093619,77.43049866,314.6999126,124.4745829,335.1737867,268.4173106,319.7299623,166.2489984,336.3763436,80.63174428
384.0955804,125.0061556,368.8469235,276.4038719,369.3004549,168.176686,367.6029713,79.35995217,314.6077585,120.7663909,335.2567654,271.9546313,321.4655464,167.3688219,337.8841969,74.79134122
385.1404043,114.8057735,367.1582847,270.5410001,368.8583026,167.2400014,365.7021601,83.99750788,303.8246317,122.5637698,334.4985015,272.3878908,321.013666,167.1658665,336.202752,79.78263502
384.3347476,124.8127595,368.5619399,274.8646578,369.758409,167.0398503,366.8262059,84.04621165,302.3851855,123.9531396,336.1488613,271.7371594,320.9685632,167.0084349,336.3132758,79.97392159
388.3361282,127.5096733,368.1293439,273.7912238,370.1951308,170.1981272,366.9134392,85.49397234,306.4308393,121.1206413,333.5683986,265.9918865,324.4731441,166.2265875,338.1554982,96.67451363
402.595229,142.4980541,368.9405637,275.0676493,369.5234634,168.4930512,370.3658969,105.2352038,300.6648973,126.7429143,334.8295338,270.6005566,316.6319457,164.6680513,333.0305056,103.1391556
414.576212,182.6209609,368.7999327,272.8902146,368.1634015,171.3576679,382.5681959,136.8158996,291.1280203,180.194126,332.0413977,268.1920379,316.6663051,164.2688741,326.8134775,140.5196565
408.6222115,212.0519493,368.2608854,274.2615513,373.467136,172.09553,377.2286866,163.6532609,298.1695182,202.7119932,330.2606169,269.8896207,320.728886,173.5962723,337.7864152,166.282113
395.7710325,224.719412,372.1139761,275.3663391,373.6486905,179.0777495,371.6497867,207.9202982,297.0734047,222.6945246,330.9481536,271.9680938,321.7668091,178.3032704,342.7125999,201.2981798
377.5642956,226.795646,363.9379713,269.3356289,373.016818,182.9469734,388.4928979,251.6908602,299.1533137,226.8757885,331.5584785,269.2801984,316.8022735,180.8838537,318.2863999,244.3594594
373.1664772,227.5377151,366.2710855,270.7814987,368.3342446,182.2325933,384.8701084,268.1091428,300.2569667,230.1156559,331.3932707,271.7404077,311.9783083,179.6438362,304.2944834,275.7102011
372.4779245,231.3461126,359.4219177,273.3988636,365.1333821,184.4026073,385.0719195,271.9917444,299.3938948,228.9387302,322.8371407,271.4831673,311.3226626,181.0303918,293.151458,277.2430366
372.1892537,230.750729,356.6665071,270.8800961,361.5970221,182.2321835,382.1914794,269.185583,295.9472689,229.5853613,320.9318959,268.6673734,309.6878966,179.2420782,285.4888329,277.9122756
