leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,label
369.92645501308755,176.56261088053384,330.34456446913424,179.50694580078124,389.3178871029713,213.35734252929686,308.3626168673156,213.98722534179686,397.96955846567624,246.03712209065756,310.8346657674821,234.74204915364584,365.3144446201012,253.59105021158854,332.8664085513256,248.28112487792967,999
369.92645501308755,176.56261088053384,330.34456446913424,179.50694580078124,389.3178871029713,213.35734252929686,308.3626168673156,213.98722534179686,397.96955846567624,246.03712209065756,310.8346657674821,234.74204915364584,365.3144446201012,253.59105021158854,332.8664085513256,248.28112487792967,999
369.92645501308755,176.56261088053384,330.34456446913424,179.50694580078124,389.3178871029713,213.35734252929686,308.3626168673156,213.98722534179686,397.96955846567624,246.03712209065756,310.8346657674821,234.74204915364584,365.3144446201012,253.59105021158854,332.8664085513256,248.28112487792967,999
369.92645501308755,176.56261088053384,330.34456446913424,179.50694580078124,389.3178871029713,213.35734252929686,308.3626168673156,213.98722534179686,397.96955846567624,246.03712209065756,310.8346657674821,234.74204915364584,365.3144446201012,253.59105021158854,332.8664085513256,248.28112487792967,999
369.8700180053711,175.6745183308919,321.77993324154716,177.73852030436197,387.92696793352974,211.87340291341147,316.8800258949155,210.30887298583983,395.391357421875,240.29946784973143,311.5099657402664,236.47956822713215,364.3151710385182,252.72140502929688,329.4257972592213,244.32036539713542,999
370.0906458370021,163.13192698160807,318.2509165279201,171.50168120066326,394.65134317366807,179.37126668294272,302.84677899470097,176.25824228922525,375.15830318263323,156.2070810953776,315.39884173283815,153.83287048339844,356.80550797259224,248.24613138834636,331.06173055680074,246.70591735839844,2
358.8310136638704,163.87925465901694,329.25159792040216,160.62420552571615,372.13499375640373,171.60152269999185,309.8306169353548,153.8358388264974,368.0616201181881,154.48385721842448,314.708743236104,116.19149983723958,351.4473376664959,240.57648366292318,331.91722131948006,236.9813451131185,999
358.4010760197874,163.33467763264974,325.3370571449155,163.2618194580078,372.91326228907855,153.6288075764974,310.04430802142036,137.29359537760416,360.4653060162654,111.91855875651042,319.87045338114757,80.40000406901042,347.2765733062244,244.77118886311848,326.943841652792,239.14411417643228,999
358.11873739273824,163.0827412923177,323.07864329854,166.76115544637045,374.7372491555136,151.0284912109375,307.2479693303343,134.46260986328124,365.1216433165504,111.82376912434896,314.044207463499,80.34876098632813,347.07471503586066,247.77440592447917,325.196783347208,241.16434529622396,999
353.56077300525106,164.42025197347004,321.24469294313525,162.9916244506836,370.6866019827421,161.6751708984375,307.5372184378202,143.0936319986979,364.2838875192111,112.74525960286458,315.157241571145,79.3520528157552,347.016155305456,247.64120381673177,323.9440717853484,242.63872706095378,999
354.8470949266778,163.15687967936196,321.82456594998723,161.28241984049478,370.3257754591645,161.83419799804688,306.7325559522285,141.5876708984375,362.6976058209529,112.50611165364583,315.0611732357838,79.18820597330729,346.74737849001025,247.0337122599284,324.50797559394215,242.49864756266277,999
352.59093737993084,164.74608408610027,320.6992687788166,163.69339904785156,373.6391311395364,156.70916137695312,305.18459457647606,140.79601643880207,364.8232026647349,110.59858601888021,316.0328529232838,79.77464192708334,345.796392722208,246.71683298746746,325.67051621734123,241.23001302083333,999
353.73635413998466,160.55437825520832,320.48046474769467,160.75780537923177,373.7277056584593,154.44024861653645,305.05714891777666,139.41791381835938,365.7718258216733,111.37019856770833,314.6276235111424,80.11474405924479,345.4337458376025,246.01522064208984,324.46704001504867,242.4597073872884,999
351.711926069416,166.28769327799478,320.9018774814293,163.63329366048177,372.26713086737965,158.97371724446614,305.2856212678503,144.65181477864584,364.21934734407023,111.59476318359374,316.32676721791756,103.63204956054688,343.99502713563015,247.5204305013021,323.7660162253458,244.60130767822264,999
353.55564805327873,163.24059448242187,321.1996099753458,162.86178487141927,373.37900930936223,158.43453063964844,304.9386431584593,142.5869181315104,363.78343225698006,112.00044352213541,317.25606049084274,81.84696248372396,344.8548043673156,245.0793207804362,322.50907822906,242.19201838175456,999
351.4253830206199,160.95338846842446,321.1483394435195,160.67527567545574,366.4845275878906,133.71552378336588,305.89580623439105,139.22270914713542,355.19471015304816,89.25477091471355,314.32658511302515,79.61817830403646,344.15112704918033,242.68795089721678,322.9130229011911,238.9819206873576,999
352.0829197617828,164.24055124918618,321.75108562532023,161.35916035970052,369.12678473113016,160.20939025878906,307.0170608270364,144.3716552734375,363.33727376969136,111.25050455729166,314.92343189677257,102.74884236653645,343.43965123911374,246.17566833496093,324.2456594998719,240.66108194986978,999
352.82687728131407,161.0701690673828,320.79496890208765,160.44928181966145,371.6477373467117,154.33085021972656,306.2674017734215,140.23607991536457,365.25732797091126,109.31843872070313,316.11419677734375,79.34840494791666,345.40357846119366,245.95599873860678,323.3874071465164,242.1377395629883,999
352.80610931896774,166.20210723876954,321.127447409708,165.15239919026692,372.84631122526577,157.42830912272134,305.1565429187212,139.21465454101562,363.4925427045979,110.7558614095052,319.79162197425717,79.771337890625,345.4466132492316,246.8059346516927,323.68942911116807,243.449050394694,999
353.4425499087475,162.78243662516275,321.23459112448774,163.32170613606772,373.0717795950468,154.03477172851564,306.9901633340804,139.6591023763021,364.2640981205174,110.56898396809896,317.91069656121925,78.04875284830729,344.81583992379615,244.5852533976237,323.50889512359123,240.93678131103516,999
353.7140312820185,160.04188130696613,321.3441442270748,161.05161844889324,373.45692794049376,153.67750142415363,305.1605254626665,139.37433064778645,363.1167937732134,114.23341674804688,317.4505114946209,81.59574584960937,344.22383092661374,244.50220489501953,325.0490522540984,239.44716364542643,999
354.30566306192367,161.0345723470052,320.1783067046619,163.1540313720703,372.4234198898566,155.5724863688151,306.31999456687055,144.0380879720052,362.2475295770364,111.59872843424479,318.62436563460557,104.86304321289062,346.19497230404716,246.3573501586914,324.1158027023566,241.31719640096028,999
355.27567278752565,161.9463317871094,320.7419563668673,162.0512247721354,373.318371381916,155.05831705729167,304.51286215860335,136.07925618489583,362.77778000128075,109.81495157877605,319.43329757940575,81.86227010091146,346.6373951396004,248.62505086263022,322.01707383452873,243.95886942545573,999
354.55379298475924,161.607080078125,320.7057655209401,166.1197545369466,375.8209233518507,151.99168497721354,303.7732431380475,140.28729451497395,357.5461585873463,119.63432006835937,324.04721319480024,83.69249471028645,347.18669753778175,248.66947530110676,322.9145027535861,242.31766153971353,999
355.079595847208,162.1202657063802,319.87887623271007,163.4358123779297,373.11594778592473,156.8970520019531,302.0080537952361,140.97633463541666,363.7545756355661,111.14293416341145,320.8018318551486,82.64583333333333,347.46124567751025,248.24494527180988,322.9548940189549,244.7023447672526,999
354.5128423972208,163.93453521728514,319.60718273725666,164.27422892252605,374.0788579221632,153.36131184895834,302.96615738165184,137.80633951822915,357.36371750128075,120.20740661621093,321.08398637615267,84.19514363606771,346.67630154969265,248.9061757405599,323.9390458904329,246.91285858154296,999
