leftShoulder_x;leftShoulder_y;rightShoulder_x;rightShoulder_y;leftElbow_x;leftElbow_y;rightElbow_x;rightElbow_y;leftWrist_x;leftWrist_y;rightWrist_x;rightWrist_y;leftHip_x;leftHip_y;rightHip_x;rightHip_y;label
3.575.830.217.936.960;15.685.159.953.401.600;3.204.575.756.488.810;16.232.593.625.090.800;36.801.293.540.339.800;1.320.212.804.943.510;30.780.305.527.962.700;12.798.540.369.400.700;3.604.803.245.026.160;9.639.022.601.331.260;3.171.803.221.017.070;9.802.422.892.467.660;35.416.105.972.458.700;24.166.823.066.566.200;3.306.751.081.276.840;2.457.086.057.441.170;999
3.576.509.071.338.040;16.108.836.587.337.300;320.232.674.115.077;1.642.865.138.628.510;3.680.791.493.878.350;13.093.231.201.171.800;3.073.303.754.032.120;13.567.121.122.654.500;3.585.046.377.076.540;9.867.448.609.172.660;3.147.239.914.060.950;9.689.811.916.230.340;35.677.485.606.116.700;24.736.618.082.316.600;33.025.988.200.641.100;2.475.916.613.685.650;999
36.054.504.756.113.900;17.428.241.463.594.600;3.199.882.384.386.100;17.337.475.734.331.600;3.939.647.723.976.840;1.552.584.174.319.500;2.872.891.442.658.960;15.262.289.873.893.300;40.751.051.096.742.900;1.158.236.855.633.910;27.226.286.708.837.800;12.484.931.510.296.200;35.957.154.453.271.500;25.013.505.742.111.300;32.567.950.931.205.500;25.206.179.499.878.100;999
3.613.266.646.880.860;17.510.318.780.298.200;31.754.110.761.163.300;1.753.663.583.638.550;397.799.572.696.053;1.702.834.427.482.730;2.845.968.435.085.590;1.718.529.157.255.460;43.751.251.751.024.300;15.929.036.235.204.400;24.610.621.833.499.900;17.014.239.351.542.700;35.707.367.774.999.500;25.342.914.790.986.200;3.296.139.111.752.380;25.124.294.772.964.700;1
3.599.370.624.367.470;17.481.181.735.468.200;3.164.064.953.941.110;1.729.240.800.563.170;39.901.595.322.065.000;16.809.128.896.378.500;2.831.299.098.106.730;16.780.130.075.853.900;4.423.320.646.120.280;15.677.558.173.084.800;24.813.631.102.937.000;1.679.784.243.303.420;35.616.867.475.223.300;24.934.612.846.777.700;32.834.224.176.632.800;25.018.878.924.670.200;1
3.594.876.045.600.680;1.751.029.560.177.820;31.666.301.419.949.600;17.372.260.789.286.500;3.971.544.773.770.730;16.875.836.168.736.700;286.011.361.699.157;17.063.460.335.923.000;4.403.422.789.852.380;1.563.194.008.760.670;24.404.276.529.947.900;1.677.778.943.245.300;3.562.530.463.943.360;25.167.266.384.995.700;32.910.792.683.726.400;25.006.579.635.007.100;1
3.597.820.615.843.760;1.753.367.435.705.330;3.171.633.448.306.980;1.734.119.978.213.150;4.008.443.514.807.340;16.610.451.018.835.400;28.521.067.542.487.400;17.001.766.083.860.400;4.442.501.093.426.020;15.300.648.050.126.700;24.565.308.533.196.900;17.053.738.713.012.400;35.591.311.874.359.500;25.275.926.497.219.400;32.799.105.531.231.400;2.502.019.613.237.760;1
3.595.683.074.035.160;17.509.724.364.976.200;3.172.751.023.230.770;17.447.436.713.769.100;39.880.993.401.646.400;16.995.529.465.141.000;2.829.761.002.527.020;171.005.182.891.265;44.478.685.809.914.300;1.558.751.148.602.920;24.391.698.225.602.900;16.724.465.771.406.900;3.565.799.331.062.400;2.526.840.942.253.770;32.828.842.428.246.500;25.070.997.109.120.700;1
3.599.998.196.907.700;17.513.880.384.900.800;31.676.712.879.825.700;1.751.379.473.567.260;40.087.606.854.913.300;16.766.510.106.544.400;286.187.308.312.969;17.225.401.493.258.000;444.488.349.902.498;1.548.999.005.291.470;2.443.900.572.669.820;16.831.498.369.858.000;3.574.290.794.143.550;25.139.640.985.533.200;32.822.487.106.443.700;2.531.119.077.654.260;1
3.615.649.684.044.230;17.491.454.755.529.000;31.581.370.276.862.400;1.731.950.821.987.410;40.112.910.025.116.000;16.879.314.579.872.900;28.485.854.789.167.400;17.065.277.164.128.500;44.374.589.917.030.700;15.424.843.706.741.800;24.470.439.507.121.300;1.683.948.087.793.070;3.562.384.204.954.890;2.529.602.306.035.300;32.865.609.842.454.000;25.105.065.444.559.100;1
