leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y
346.5878465996414,152.25040283203126,271.2262463178791,150.54755045572915,356.68943111232073,216.67042846679686,261.3195200435451,213.74805196126303,378.84019195056356,267.02416941324867,250.83412645683916,269.3052185058594,330.1687552029969,269.0755449930827,285.76778224257174,268.55054931640626
328.0208620165215,145.0818644205729,250.88818159259736,151.39250691731772,375.9951687171811,157.63326416015624,237.9523560570889,217.1140584309896,420.788354091957,147.70301717122396,235.2318572685367,273.0462942997614,316.29454866002817,266.52467041015626,271.40836746966255,267.40724283854166
323.2050300973361,147.30521138509116,252.00768542680586,150.80094197591146,372.3589612616868,155.9425506591797,239.26663608238346,217.4626963297526,423.03263079533815,143.88244069417317,234.80789494123616,276.77528432210283,317.9989824138704,269.86358642578125,275.24232658011016,270.80667877197266
325.33846095350924,147.4893351236979,251.9218399798284,152.73917236328126,380.34239421907023,154.66879679361978,240.14013171586836,217.56899922688802,430.87513607838116,148.65887451171875,235.41050266828694,275.3671363830566,319.42134669569674,269.4896041870117,274.79158845495004,270.47418823242185
324.9325411436988,144.5938268025716,252.33002609503075,153.2484141031901,379.5935769002946,157.69872029622397,240.29676993948516,215.8661661783854,446.2350003602075,149.12961018880208,233.51168673155738,273.4788078308105,315.21342593333765,269.435622660319,272.1597142454054,270.05518137613933
325.26600121670083,146.0862833658854,251.03440581775104,152.65807596842447,382.3698070088371,157.2508524576823,239.82504872806737,215.9153076171875,454.52823026063015,152.94438781738282,235.53655227285918,274.97021090189617,319.36364345863217,266.9176106770833,273.5688801749808,269.3673360188802
325.94482221759733,146.1263468424479,252.4215458103868,150.69968872070314,387.86023149334017,158.39378662109374,240.567521392322,213.3336954752604,444.3422176173476,152.21729227701823,230.16107527936092,270.958213297526,314.08612961065575,266.0674275716146,270.29967373707257,263.24756774902346
327.1119184650359,145.08985087076823,250.8936667520492,153.67977600097657,386.13659868084017,153.61968688964845,237.8417616046843,214.77242736816405,428.53340724257174,149.9715810139974,233.31989138243628,270.06499938964845,313.7540793497054,266.8990198771159,267.3248471119365,269.65572026570635
327.507068071209,144.7517578125,250.88817158683403,153.19740193684896,380.3461803999104,150.07772216796874,239.59985551677767,215.8138895670573,440.2117379610656,144.38153025309245,234.4806248399078,272.36670443216957,315.27282614786117,270.0070114135742,272.353428324715,271.138910929362
330.1096531602203,146.62502950032552,251.71037517610145,153.61715698242188,377.3998097904393,153.83743693033853,238.90442419833826,217.44508260091146,438.68873296018506,150.09190979003907,237.09776131051487,275.39715372721355,317.70223648821724,269.53696695963544,271.9313762227043,273.0865467707316
333.2562683605757,148.89705912272134,252.89446621253845,153.84506225585938,389.4827820824795,154.94727884928386,243.15308117475666,217.89373168945312,441.7654328893443,150.4602264404297,234.99006624690824,272.5678674062093,315.04474177126025,265.2552205403646,275.21472918401,269.5599848429362
331.97152634917717,147.88636067708333,252.74774570152408,155.2287129720052,386.850860095415,156.6284423828125,242.61373401079024,216.6236602783203,433.4288810354765,155.74769083658853,237.21746826171875,275.78908081054686,316.11238673475924,263.56552734375,277.3140048668033,267.16790974934895
331.30931616611167,145.81015625,252.1632260181865,151.46961466471353,388.16128690125515,153.0491739908854,242.9848367659772,216.4744862874349,447.9179057136911,149.15488077799478,235.24957897624031,273.1909013748169,319.22579605852974,267.93865559895835,273.983904729124,264.4254119873047
328.86852226882684,143.68648681640624,253.7215536148822,154.19170633951822,385.682864329854,158.95821431477864,241.49607373847337,217.07177124023437,457.8173067686988,147.65288594563802,235.50595164689864,275.2015973409017,320.251708984375,266.46173095703125,274.7485691758453,267.697492980957
329.92224521324283,147.36253967285157,254.42980156570187,151.0934814453125,389.4925276959529,156.2512237548828,232.79409039606816,218.68851521809896,440.65876745005124,150.76363728841145,218.27563876793033,282.4702128092448,321.7985399590164,264.6643513997396,274.55576512070957,269.97054595947264
