leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,ms_since_last_frame,ms_since_start,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
363.0207678999762,172.44958490663578,353.10261149621454,229.94883255602204,357.4299524443852,138.31063698195058,342.31282120358094,143.14611957590773,0,0.0,305.92926430133036,169.43557481324547,317.55856460854613,227.899480392076,309.86398550180286,135.23869035931244,322.19872431666533,140.24809270566894
363.09194347270284,168.75616514810042,352.32972688953186,229.81895229570384,357.5064038344973,139.16855584684217,342.29523433614474,141.2856507216484,116,116.0,304.8527935645308,167.11641779998018,317.05169353940437,226.93303661414313,309.55224156063497,136.01495674920676,322.4855005077089,139.17939535663646
362.5881622071608,167.36561228796256,352.4001783780773,229.68711411825703,356.5206799899236,138.68219681057641,341.02114406757715,140.2695522104718,113,229.0,304.98262845552887,172.1317454164987,315.04142214828215,231.06022186550805,308.77949600826844,136.14921661458405,326.47712687282416,143.90993328705378
361.25307361390287,170.62533069759925,349.5668410243027,228.46489468503253,355.79115951092865,137.46171730693126,341.8846927713652,143.36909772662506,103,332.0,297.9957350875085,167.39493604232408,315.5460606582601,227.0039370390868,304.76280799278845,139.37810714558776,321.2436212595325,142.86396610355038
359.9400430775448,165.81240060066415,347.8506542580197,229.51198021288025,355.1277369086876,139.63275366406424,338.72257141598976,151.22895617502016,102,434.0,304.2424306692432,171.50407282058882,314.36544807899537,227.08956816866728,301.4883026203996,143.1993627039139,318.46868297465596,141.82342366391654
357.6796465400676,166.64716218289956,347.98648095573617,227.4018200097135,352.23836934218673,137.17333484798988,336.36511845677217,147.37196409829568,104,538.0,302.94994242943886,169.54495508051428,313.4874330717942,225.5469970431616,302.9147508859002,135.69056745101548,318.54906158042525,141.94665168952264
356.5788742591595,165.45863806565038,347.6374966649225,227.42437545939273,353.4063470015792,138.05586034292853,334.2039234758372,147.18348438629474,106,644.0,301.62533868845327,169.90991327686243,312.10399030690485,226.27215823244796,301.3922507693344,136.7968983497484,317.7945699109956,142.70471973351312
350.8250738897753,171.77181610433232,345.4447771067329,227.66683015110652,351.97497208491563,140.1931073063209,336.9585074670119,148.90601324441167,109,753.0,299.6685645308356,168.24575010143562,310.7305540899383,226.38550442732952,299.9099011003813,137.20444485810305,311.8566182184599,146.21292440068257
352.47405439219995,168.96137522632966,345.1647548523759,226.8985544659489,351.0584961261294,139.2853415818401,339.98879915839484,147.05818257722143,106,859.0,299.21744996736163,170.17948232087375,311.3246022232015,225.03371975175853,300.02688299123434,135.33874756076582,318.4871926547994,142.37902984076123
351.34927036275286,170.56182372612463,341.23066666904117,225.23770722630184,350.6892737026873,139.34949691609557,338.7293550000583,149.39792185067282,111,970.0,300.4135269448359,169.41631249261496,307.29409296253317,223.92371859838954,301.4551169802719,134.99146376640348,315.3504955989929,157.36490269996943
350.57806283156503,171.14782801726534,340.5387972520581,224.4645240213524,351.2263290445748,139.97353855825406,333.5279757148075,140.8106353868369,103,1073.0,300.04740019375834,169.52171827974692,309.8045185200416,223.5886926074045,300.27643583181367,136.09713652804228,318.0799521691603,156.0848732944909
349.1784781296626,169.19243836318046,342.75033116024434,227.15196982821536,349.96754916972765,140.3850002899713,336.31707492494456,147.42987364636622,104,1177.0,297.96304070348765,164.5036306924243,309.05613279469134,224.3711817731213,298.4120141795839,135.04338899116925,309.5164817587451,144.48129402785116
348.22026826974883,168.52277246658488,339.9662962895806,225.16780500310173,346.5256401082249,134.6672243410158,334.6756244527882,148.099586785476,108,1285.0,295.5713934860432,161.61840730714633,308.61380984359465,222.87991968338176,298.3450633081896,133.74839103943086,307.5509651649536,141.6950820434136
347.20270414883635,170.2341871159781,339.75847406159664,225.97773758966304,346.2189813507647,136.3794207572937,331.1982164458824,146.93597759640514,102,1387.0,292.8276049869446,161.06771903530134,307.17919306666533,222.86134034289157,296.80742744425567,136.49947495647172,308.98844670869937,140.6039119191017
346.5032262827421,170.39757575853017,341.6857015675512,226.22579947909423,344.66348703723366,135.6694618578059,329.8570287891661,146.691945574886,106,1493.0,293.39306899660147,166.4419207454152,306.62144344744695,223.98963412356116,295.23700744467016,137.44849805730095,309.46968867860994,141.97693251205934
