0.8175,0.52625,0.0975,0.1775,0.78,0.6025,0.775,0.56375,0.41375,0.01875,-0.03375,0.00875,4
0.8,0.53125,0.09375,0.18,0.80125,0.60625,0.7875,0.595,0.80375,0.00125,-0.0375,0.00625,4
0.80125,0.535,0.09125,0.1825,0.8025,0.60625,0.7875,0.595,0.8025,0.0025,-0.035,0.0075,4
0.8175,0.52375,0.09125,0.1775,0.80125,0.60625,0.78875,0.59375,0.8,0.00375,-0.01125,0.01,4
0.77375,0.52625,0.12875,0.18,0.765,0.60125,0.78125,0.255,0.7975,0.00375,0.8,-0.0025,4
0.815,0.52125,0.38125,0.35875,0.7825,0.60125,0.765,0.59,0.77375,0.005,-0.01375,0.0125,4
0.79875,0.53875,0.4175,0.2825,0.8025,0.605,0.7825,0.59375,0.005,0.0125,-0.00875,0.0075,4
0.79875,0.53375,0.41625,0.27875,0.8025,0.58375,0.79375,0.57375,0.795,0.00875,-0.0325,0.00875,0
0.80125,0.54375,0.415,0.275,0.8025,0.60625,0.785,0.595,0,0.0125,-0.03125,0.00875,0
0.8,0.54125,0.69375,0.07,0.80125,0.6025,0.78375,0.59125,-0.00375,0.01375,-0.01375,0.00875,0
0.81875,0.5275,0.12,0.26625,0.80375,0.57375,0.78625,0.595,0.50875,-0.0025,-0.03,0.01,0
0.77,0.11125,0.11,0.29875,0.80125,0.6025,0.785,0.5925,0.79625,0.00375,-0.035,0.00875,0
0.8,0.535,0.1175,0.26875,0.80625,0.57875,0.79375,0.5725,-0.025,0.01125,-0.03,0.01125,0
0.8,0.5375,0.115,0.29875,0.80125,0.605,0.765,0.59,-0.00375,0.015,-0.00875,0.01375,0
0.81375,0.525,0.11125,0.3075,0.7725,0.60375,0.78375,0.5925,0.80125,0.005,-0.02875,0.00875,0
0.115,0.0475,0.6775,0.52375,0.80625,0.6075,0.765,0.595,0.795,0.005,-0.02875,0.00875,0
0.80375,0.53375,0.67625,0.53125,0.8,0.5975,0.78375,0.5875,0.7975,0.00125,-0.035,0.01,0
0.79875,0.53125,0.1525,0.2575,0.78,0.60375,0.79125,0.57125,0.00375,0.01125,-0.005,0.01,1
0.80375,0.5325,0.15125,0.25875,0.8025,0.60375,0.78375,0.59125,0.795,0.0025,-0.00625,0.01125,1
0.80125,0.53125,0.13625,0.29,0.8025,0.6025,0.785,0.59125,0.79875,0.00125,-0.01125,0.01125,1
0.80125,0.53,0.1275,0.295,0.80375,0.6025,0.785,0.5925,-0.02125,0.0125,-0.0275,0.01,1
0.7975,0.53375,0.115,0.29875,0.805,0.58,0.785,0.58625,-0.02375,0.0125,-0.03,0.01125,1
0.79875,0.535,0.0725,0.185,0.8,0.60125,0.7825,0.58875,-0.00375,0.0125,-0.00875,0.0125,1
0.80125,0.53,0.12625,0.1875,0.8,0.5975,0.78125,0.5875,0.77,0.00625,-0.03125,0.01,1
0.8,0.53125,0.09,0.18,0.8025,0.59875,0.785,0.58875,0.7975,0.0025,-0.03375,0.01,1
0.80125,0.53375,0.595,0.06125,0.8,0.6,0.7825,0.5875,0.79875,0.005,-0.00875,0.01125,1
0.80375,0.53875,0.11625,0.18625,0.8,0.60375,0.78125,0.5925,0.79875,0.00375,0.8,-0.0025,1
0.745,0.08125,0.4375,0.35,0.76875,0.605,0.7625,0.59375,0.8,0.00625,-0.00875,0.01125,4
0.1075,0.04875,0.0975,0.18,0.79625,0.325,0.80625,0.26,0.80125,0,-0.03375,0.01,4
0.6975,0.085,0.415,0.285,0.785,0.57375,0.7825,0.59125,0.795,0.00375,-0.0075,0.0125,4
0.8,0.53625,0.09875,0.1675,0.80375,0.5825,0.7875,0.5725,0.7725,0.00375,-0.03125,0.01125,2
0.8025,0.53625,0.09375,0.18,0.8025,0.57625,0.775,0.5625,-0.0225,0.0125,-0.03,0.01125,2
0.795,0.5225,0.09625,0.17875,0.8,0.2625,0.8025,0.2325,-0.01625,0.01125,-0.02625,0.01,2
0.8,0.53375,0.08375,0.1775,0.79875,0.6025,0.7825,0.59,0.79875,0.0025,-0.01,0.01125,2
0.8025,0.52625,0.08125,0.1775,0.805,0.60125,0.78,0.59125,0.79875,0.005,-0.03125,0.01,2
0.79875,0.5275,0.0825,0.17625,0.8025,0.6025,0.79125,0.56875,0.795,0.005,-0.03,0.01,2
0.11,0.0475,0.42375,0.33875,0.7575,0.58125,0.7625,0.57875,0.80125,0.00375,0.8025,-0.0025,3
0.79875,0.5375,0.2025,0.06375,0.05625,0.05375,0.76625,0.585,0.0375,0.01,0.01,0.00625,0
0.49125,0.065,0.63375,0.06875,0.4425,0.065,0.765,0.58875,0.3925,-0.00375,0.7975,-0.00125,0
0.46375,0.065,0.085,0.13625,0.40875,0.04875,0.7825,0.59125,0.43375,-0.0075,-0.02875,0.0075,0
0.465,0.07375,0.09,0.17875,0.455,0.05,0.7825,0.5925,0.3825,-0.0125,-0.01125,0.01125,3
0.8025,0.53875,0.0775,0.14875,0.80125,0.605,0.7825,0.59375,0.39125,-0.005,-0.03375,0.01125,3
0.8,0.53875,0.725,0.09625,0.80375,0.6075,0.7625,0.07,0.76,0.01,-0.00625,0.0125,3
0.51875,0.25625,0.12875,0.17125,0.79375,0.35625,0.80875,0.26125,0.7975,0.00625,-0.01125,0.01125,0
0.79875,0.535,0.4675,0.22875,0.8,0.6025,0.78125,0.59125,0.8,0.00375,-0.00875,0.0125,0
0.795,0.53125,0.6375,0.06875,0.7925,0.58125,0.78625,0.575,-0.01625,0.01125,-0.0275,0.01,0
0.11375,0.05,0.08875,0.18125,0.795,0.5125,0.78625,0.58,0.0075,0.01125,0.00375,0.015,4
0.8,0.5275,0.1175,0.17125,0.80125,0.5775,0.78875,0.5925,0.44625,0.01125,-0.02875,0.00875,4
0.77375,0.48875,0.13125,0.195,0.80125,0.5825,0.78875,0.575,0.43125,0,-0.00375,0.01125,4
0.4825,0.05875,0.08875,0.1425,0.7975,0.60375,0.40125,0.03,0.45375,-0.00125,-0.00875,0.01375,4
